,place,rank,review_count,view_count
1620,미아동,,2.0,3314.0
1621,미아동,,2.0,1591.0
1622,미아동,,2.0,1334.0
1623,미아동,,1.0,3129.0
1644,미아동,,1.0,2581.0
1645,미아동,,1.0,2258.0
1646,미아동,,1.0,2029.0
1647,미아동,,1.0,1497.0
1648,미아동,,1.0,1299.0
1649,미아동,,1.0,1159.0
1650,미아동,,1.0,560.0
1651,미아동,,1.0,448.0
1652,미아동,,1.0,14.0
1653,미아동,,1.0,5.0
1654,미아동,,0.0,2871.0
1655,미아동,,4.0,2150.0
1656,미아동,,3.0,2097.0
1657,미아동,,3.0,1680.0
1658,미아동,,2.0,1910.0
1659,미아동,,2.0,89.0
